Distance,Forsterite,ForsteriteS
4.6701,0.7485,0.754766667
9.3402,0.7545,0.7586
14.0103,0.7613,0.759566667
18.6804,0.76,0.7587
23.3505,0.7574,0.756433333
28.0206,0.7587,0.7535
32.6907,0.7532,0.7523
37.3608,0.7486,0.751033333
42.0309,0.7551,0.752633333
46.701,0.7494,0.7511
51.3711,0.7534,0.7536
56.0412,0.7505,0.757966667
60.7113,0.7569,0.760633333
65.3814,0.7665,0.760033333
70.0515,0.7585,0.7531
74.7216,0.7551,0.748633333
79.3918,0.7457,0.7468
84.0619,0.7451,0.748566667
88.732,0.7496,0.751933333
93.4021,0.751,0.754
98.0722,0.7552,0.758533333
102.7423,0.7558,0.7603
107.4124,0.7646,0.7596
112.0825,0.7605,0.7526
116.7526,0.7537,0.747633333
121.4227,0.7436,0.746266667
126.0928,0.7456,0.7497
130.7629,0.7496,0.752666667
135.433,0.7539,0.754433333
140.1031,0.7545,0.752733333
144.7732,0.7549,0.751
149.4433,0.7488,0.750233333
154.1134,0.7493,0.750166667
158.7835,0.7526,0.749566667
163.4536,0.7486,0.745466667
168.1237,0.7475,0.743533333
172.7938,0.7403,0.745833333
177.4639,0.7428,0.751033333
182.134,0.7544,0.755766667
186.8041,0.7559,0.756533333
191.4742,0.757,0.757
196.1443,0.7567,0.754233333
200.8144,0.7573,0.751433333
205.4845,0.7487,0.748766667
210.1546,0.7483,0.748533333
214.8247,0.7493,0.746466667
219.4948,0.748,0.744066667
224.1649,0.7421,0.744366667
228.8351,0.7421,0.748933333
233.5052,0.7489,0.7552
238.1753,0.7558,0.754866667
242.8454,0.7609,0.747833333
247.5155,0.7479,0.740466667
252.1856,0.7347,0.740333333
256.8557,0.7388,0.7466
261.5258,0.7475,0.753166667
266.1959,0.7535,0.756
270.866,0.7585,0.752966667
275.5361,0.756,0.748966667
280.2062,0.7444,0.744833333
284.8763,0.7465,0.7435
289.5464,0.7436,0.742433333
294.2165,0.7404,0.742733333
298.8866,0.7433,0.7423
303.5567,0.7445,0.741233333
308.2268,0.7391,0.742133333
312.8969,0.7401,0.7433
317.567,0.7472,0.745466667
322.2371,0.7426,0.741566667
326.9072,0.7466,0.7395
331.5773,0.7355,0.738666667
336.2474,0.7364,0.742666667
340.9175,0.7441,0.744033333
345.5876,0.7475,0.739733333
350.2577,0.7405,0.735533333
354.9278,0.7312,0.732333333
359.5979,0.7349,0.731966667
364.268,0.7309,0.7306
368.9381,0.7301,0.7293
373.6082,0.7308,0.727333333
378.2784,0.727,0.7269
382.9485,0.7242,0.7269
387.6186,0.7295,0.7291
392.2887,0.727,0.7292
396.9588,0.7308,0.7297
401.6289,0.7298,0.726866667
406.299,0.7285,0.7261
410.9691,0.7223,0.725333333
415.6392,0.7275,0.727133333
420.3093,0.7262,0.726633333
424.9794,0.7277,0.724766667
429.6495,0.726,0.720866667
434.3196,0.7206,0.716
438.9897,0.716,0.712533333
443.6598,0.7114,0.712466667
448.3299,0.7102,0.713
453,0.7158,0.7158
